fid,Nom,Secteur,Y,X,Descriptio,Date,Photo_path,xcoord,ycoord
54,à revoir si CA,,,,Doline,23/10/22,DCIM/JPEG_20221023092523744.jpg,919729.088020289,6479389.95446876
55,P114?,,,,,,DCIM/JPEG_20221023093455317.jpg,919817.653862972,6479396.86265181
56,"103",,,,,,DCIM/JPEG_20221023094029547.jpg,919845.636838707,6479422.33105726
57,"101",,,,,,DCIM/JPEG_20221023095154146.jpg,919830.541447585,6479445.25227483
58,Arlesienne,,,,,,DCIM/JPEG_20221023101216271.jpg,919794.751319818,6479216.35312241
59,"108",,,,,,DCIM/JPEG_20221023101342860.jpg,919800.252131125,6479228.08886343
60,"118",,,,,,DCIM/JPEG_20221023101958835.jpg,919783.081098406,6479183.24441551
61,semble deja exploré,,,,,,DCIM/JPEG_20221023102223972.jpg,919745.635905237,6479130.0109709
62,Grotte mouton,,,,,,DCIM/JPEG_20221023115720823.jpg,919625.002588945,6478990.25424543
63,Trou etroit,,,,,,DCIM/JPEG_20221023115832704.jpg,919627.254979494,6478983.30659837
64,Rappel mauvernais,,,,,,DCIM/JPEG_20221023124327157.jpg,919620.415240701,6478952.99449741
,Puits Echo,,,,Fort courant d'air,23/10/22,DCIM/JPEG_20221023094709114.jpg,919845.221710494,6479453.78718834
